Date,Open,High,Low,Close,Adj Close,Volume
2019-06-11,1650.0,1671.800048828125,1647.0,1648.0,1648.0,7123
2019-06-12,1634.0,1646.0,1630.199951171875,1639.0,1639.0,2488
2019-06-13,1635.0,1669.5999755859375,1635.0,1658.199951171875,1658.199951171875,2005
2019-06-14,1650.199951171875,1667.4000244140625,1645.199951171875,1666.0,1666.0,1907
2019-06-17,1678.0,1685.0,1666.0,1679.0,1679.0,1918
2019-06-18,1685.800048828125,1717.0,1675.4000244140625,1713.199951171875,1713.199951171875,4844
2019-06-19,1707.0,1709.800048828125,1690.0,1694.5999755859375,1694.5999755859375,2713
2019-06-20,1710.199951171875,1721.199951171875,1695.800048828125,1696.800048828125,1696.800048828125,4363
2019-06-21,1684.5999755859375,1700.4000244140625,1683.0,1697.5999755859375,1697.5999755859375,2079
2019-06-24,1694.5999755859375,1694.5999755859375,1669.0,1675.0,1675.0,2552
2019-06-25,1668.0,1682.0,1656.0,1659.5999755859375,1659.5999755859375,2100
2019-06-26,1659.800048828125,1675.0,1655.4000244140625,1662.199951171875,1662.199951171875,1535
2019-06-27,1684.0,1687.199951171875,1668.4000244140625,1670.0,1670.0,1906
2019-06-28,1676.199951171875,1680.199951171875,1667.800048828125,1672.199951171875,1672.199951171875,1797
2019-07-01,1700.0,1702.5999755859375,1690.0,1699.800048828125,1699.800048828125,4036
2019-07-02,1702.0,1702.0,1688.800048828125,1689.199951171875,1689.199951171875,950
2019-07-03,1710.4000244140625,1720.0,1710.199951171875,1718.0,1718.0,2731
2019-07-04,1724.800048828125,1726.0,1716.4000244140625,1719.0,1719.0,2011
2019-07-05,1722.199951171875,1725.0,1716.0,1724.0,1724.0,2972
2019-07-08,1720.199951171875,1738.800048828125,1719.199951171875,1735.0,1735.0,2065
2019-07-09,1732.199951171875,1762.0,1728.199951171875,1761.4000244140625,1761.4000244140625,3747
2019-07-10,1767.0,1792.4000244140625,1764.4000244140625,1787.800048828125,1787.800048828125,4960
2019-07-11,1800.0,1807.0,1792.800048828125,1803.800048828125,1803.800048828125,3326
2019-07-12,1782.800048828125,1792.0,1779.199951171875,1787.199951171875,1787.199951171875,3096
2019-07-15,1794.800048828125,1799.800048828125,1776.800048828125,1781.0,1781.0,4031
2019-07-16,1794.800048828125,1805.0,1793.0,1800.0,1800.0,1883
2019-07-17,1798.199951171875,1799.0,1777.800048828125,1780.5999755859375,1780.5999755859375,4727
2019-07-18,1751.5999755859375,1772.5999755859375,1745.0,1750.5999755859375,1750.5999755859375,4345
2019-07-19,1766.4000244140625,1779.0,1765.199951171875,1772.199951171875,1772.199951171875,2494
2019-07-22,1759.0,1761.0,1747.199951171875,1751.0,1751.0,1677
2019-07-23,1782.199951171875,1788.0,1774.0,1777.800048828125,1777.800048828125,2550
2019-07-24,1774.199951171875,1785.0,1764.0,1785.0,1785.0,2918
2019-07-25,1797.199951171875,1807.4000244140625,1774.199951171875,1785.5999755859375,1785.5999755859375,5141
2019-07-26,1742.800048828125,1758.5999755859375,1728.4000244140625,1745.4000244140625,1745.4000244140625,6261
2019-07-29,1746.0,1748.0,1703.0,1703.0,1703.0,3644
2019-07-30,1721.199951171875,1724.800048828125,1692.0,1704.5999755859375,1704.5999755859375,4459
2019-07-31,1709.199951171875,1711.800048828125,1694.0,1696.199951171875,1696.199951171875,2299
2019-08-01,1691.800048828125,1716.199951171875,1690.199951171875,1709.0,1709.0,3207
2019-08-02,1675.0,1675.800048828125,1629.0,1633.0,1633.0,7180
2019-08-05,1618.0,1618.0,1576.199951171875,1588.0,1588.0,7899
2019-08-06,1583.800048828125,1605.5999755859375,1570.0,1570.0,1570.0,12155
2019-08-07,1598.0,1616.0,1563.4000244140625,1579.4000244140625,1579.4000244140625,7832
2019-08-08,1617.800048828125,1627.800048828125,1603.4000244140625,1624.5999755859375,1624.5999755859375,4148
2019-08-09,1633.0,1638.199951171875,1609.0,1611.0,1611.0,3508
2019-08-12,1627.800048828125,1631.0,1591.5999755859375,1596.800048828125,1596.800048828125,1130
2019-08-13,1589.800048828125,1639.0,1579.0,1620.4000244140625,1620.4000244140625,4912
2019-08-14,1639.0,1639.0,1588.0,1591.4000244140625,1591.4000244140625,3676
2019-08-15,1593.199951171875,1604.0,1555.0,1598.199951171875,1598.199951171875,8658
2019-08-16,1616.0,1629.800048828125,1605.5999755859375,1618.199951171875,1618.199951171875,2638
2019-08-19,1633.199951171875,1645.5999755859375,1628.800048828125,1643.4000244140625,1643.4000244140625,2117
2019-08-20,1642.800048828125,1647.0,1627.800048828125,1636.199951171875,1636.199951171875,2845
2019-08-21,1633.4000244140625,1648.800048828125,1630.199951171875,1644.199951171875,1644.199951171875,1981
2019-08-22,1644.800048828125,1652.5999755859375,1626.4000244140625,1633.199951171875,1633.199951171875,1557
2019-08-23,1642.800048828125,1643.5999755859375,1591.800048828125,1591.800048828125,1591.800048828125,2499
2019-08-26,1591.4000244140625,1606.4000244140625,1570.0,1584.5999755859375,1584.5999755859375,5156
2019-08-27,1595.199951171875,1602.5999755859375,1579.5999755859375,1587.5999755859375,1587.5999755859375,1814
2019-08-28,1596.199951171875,1610.0,1573.800048828125,1592.5999755859375,1592.5999755859375,896
2019-08-29,1593.0,1625.0,1588.0,1622.800048828125,1622.800048828125,3151
2019-08-30,1625.0,1634.800048828125,1605.0,1611.800048828125,1611.800048828125,2294
2019-09-02,1611.199951171875,1621.5999755859375,1607.0,1613.199951171875,1613.199951171875,2010
2019-09-03,1613.800048828125,1640.199951171875,1601.800048828125,1639.800048828125,1639.800048828125,3022
2019-09-04,1647.800048828125,1655.800048828125,1629.800048828125,1634.4000244140625,1634.4000244140625,3634
2019-09-05,1648.199951171875,1661.4000244140625,1640.800048828125,1660.5999755859375,1660.5999755859375,3529
